order_id,order_date,product,category,region,quantity,unit_price
1087,2024-04-28,Tea,Grocery,East,3,221.81
1088,2024-04-17,Perfume,Beauty,North,8,78.25
1089,2024-01-19,Serum,Beauty,South,4,150.34
1090,2024-04-16,Monitor,Electronics,South,10,125.36
1091,2024-03-09,Lipstick,Beauty,East,7,242.87
1092,2024-05-31,Bottle,Sports,North,9,329.83
1093,2024-01-25,Keyboard,Electronics,East,7,374.93
1094,2024-02-04,Towel Set,Home,North,9,134.9
1095,2024-04-29,Running Shoes,Sports,South,2,230.03
1096,2024-05-02,Serum,Beauty,North,3,7.33
1097,2024-05-29,Running Shoes,Sports,North,8,152.0
1098,2024-04-04,Lipstick,Beauty,South,3,384.48
1099,2024-03-08,Tea,Grocery,West,1,51.94
1100,2024-02-25,Serum,Beauty,East,7,348.58
1101,2024-03-07,Cushion,Home,East,11,262.74
1102,2024-04-29,Cream,Beauty,North,4,121.09
1103,2024-04-07,Running Shoes,Sports,North,3,312.37
1104,2024-02-23,Laptop,Electronics,West,8,119.27
1105,2024-02-08,Keyboard,Electronics,East,3,358.45
1106,2024-05-07,Lipstick,Beauty,South,9,37.69
1107,2024-02-14,Blender,Home,South,3,52.0
1108,2024-02-07,Running Shoes,Sports,West,3,301.25
1109,2024-02-29,Blender,Home,South,11,182.43
1110,2024-06-02,Cushion,Home,North,7,63.25
1111,2024-03-23,Headphones,Electronics,West,4,207.81
1112,2024-04-17,Lamp,Home,South,5,122.3
1113,2024-01-15,Pasta,Grocery,South,7,221.98
1114,2024-03-03,Dumbbell,Sports,South,1,298.77
1115,2024-05-15,Cushion,Home,South,11,343.45
1116,2024-05-19,Yoga Mat,Sports,East,6,28.31
1117,2024-04-14,Pasta,Grocery,South,11,238.98
1118,2024-06-06,Towel Set,Home,East,9,393.55
1119,2024-02-23,Dumbbell,Sports,North,1,186.62
